org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalTeleopPoints,totalEndgamePoints,contributedPoints,autoFuel,teleopFuel,totalPassing,totalDefense,startingPosition,autoFuelOne,autoFuelTen,autoTower,autoNZ,autoDepot,autoOutpost,teleopFuelOne,teleopFuelTen,passedNZ,passedOZ,didDefenseNZ,didDefenseOZ,totalMinorFouls,totalMajorFouls,climbingStartTime,climbLevel,diedDuringMatch,didYellowCard,didRedCard
frc8179,2026,2026mibro,2026mibro_qm3,3,3/14/2026 3:18:00 PM,red,frc217,"21","48","0","69","21","48","1","0","Depot Side","1","2","0","1","0","0","18","3","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm3,3,3/14/2026 3:18:00 PM,red,frc1528,"0","0","0","0","0","0","0","0","Middle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,red,frc3604,"14","56","0","70","14","56","0","0","Depot Side","4","1","0","0","0","0","6","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,blue,frc5907,"23","25","0","48","23","25","1","0","Depot Side","3","2","0","1","0","0","5","2","1","0","0","0","0","0","5","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,red,frc6570,"23","30","0","53","8","30","1","0","Middle","8","0","1","0","0","0","0","3","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,blue,frc6029,"1","31","0","32","1","31","0","0","Depot Side","1","0","0","1","0","0","1","3","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,blue,frc9148,"0","24","0","24","0","24","1","0","Middle","0","0","0","0","0","0","24","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm4,4,3/14/2026 3:27:00 PM,red,frc9572,"8","69","0","77","8","69","1","0","Outpost Side","8","0","0","1","0","0","9","6","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm5,5,3/14/2026 3:36:00 PM,blue,frc8124,"8","0","0","8","8","0","1","0","Middle","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm5,5,3/14/2026 3:36:00 PM,red,frc1189,"8","0","10","18","8","0","0","1","Middle","8","0","0","0","0","0","0","0","0","0","0","1","0","0","15","Level 1","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm5,5,3/14/2026 3:36:00 PM,blue,frc469,"30","130","0","160","30","130","1","0","Outpost Side","0","3","0","1","0","0","0","13","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm5,5,3/14/2026 3:36:00 PM,blue,frc4390,"0","0","0","0","0","0","0","1","Depot Side","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm5,5,3/14/2026 3:36:00 PM,red,frc8362,"0","0","0","0","0","0","0","0","Depot Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,red,frc6101,"0","3","0","3","0","3","0","1","Middle","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,blue,frc8179,"7","15","0","22","7","15","1","1","Depot Side","7","0","0","1","0","0","5","1","1","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,blue,frc5050,"0","40","0","40","0","40","1","0","Middle","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,blue,frc7769,"57","188","10","255","57","188","1","0","Outpost Side","7","5","0","1","0","0","18","17","1","0","0","0","0","0","5","Level 1","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,red,frc7174,"8","20","0","28","8","20","0","0","Depot Side","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm6,6,3/14/2026 3:45:00 PM,red,frc3322,"10","0","10","20","10","0","0","0","Depot Side","0","1","0","1","0","0","0","0","0","0","0","0","0","0","5","Level 1","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,blue,frc6152,"8","58","0","66","8","58","0","0","Depot Side","8","0","0","1","0","0","8","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,blue,frc5090,"0","0","0","0","0","0","0","1","Middle","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,red,frc1528,"0","0","0","0","0","0","0","0","Depot Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,blue,frc6057,"0","0","0","0","0","0","0","0","Outpost Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,red,frc2834,"5","16","0","21","5","16","1","0","Outpost Side","5","0","0","0","0","1","6","1","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm7,7,3/14/2026 3:54:00 PM,red,frc10606,"5","0","0","5","5","0","1","0","Middle","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm8,8,3/14/2026 4:03:00 PM,blue,frc6914,"0","0","0","0","0","0","0","0","Not There","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm8,8,3/14/2026 4:03:00 PM,blue,frc6528,"2","27","0","29","2","27","0","0","Middle","2","0","0","0","0","0","7","2","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm8,8,3/14/2026 4:03:00 PM,red,frc240,"0","0","0","0","0","0","0","2","Depot Side","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm8,8,3/14/2026 4:03:00 PM,red,frc2620,"7","0","0","7","7","0","0","1","Depot Side","7","0","0","1","0","0","0","0","0","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm8,8,3/14/2026 4:03:00 PM,blue,frc5907,"17","30","0","47","17","30","1","1","Depot Side","7","1","0","1","0","0","0","3","1","0","1","0","0","0","10","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm9,9,3/14/2026 4:12:00 PM,red,frc9572,"28","98","0","126","28","98","1","0","Depot Side","18","1","0","0","0","0","8","9","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm9,9,3/14/2026 4:12:00 PM,blue,frc4390,"0","0","0","0","0","0","1","2","Outpost Side","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm9,9,3/14/2026 4:12:00 PM,blue,frc247,"13","70","0","83","13","70","1","0","Depot Side","3","1","0","1","0","0","0","7","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm9,9,3/14/2026 4:12:00 PM,blue,frc5901,"0","0","0","0","0","0","1","0","Middle","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm9,9,3/14/2026 4:12:00 PM,red,frc8124,"0","2","0","2","0","2","0","1","Outpost Side","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm10,10,3/14/2026 4:20:00 PM,red,frc5050,"0","42","0","42","0","43","1","0","Not There","0","0","0","0","0","0","3","4","1","0","0","0","0","1","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm10,10,3/14/2026 4:20:00 PM,blue,frc6101,"0","0","0","0","0","0","1","0","Depot Side","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm10,10,3/14/2026 4:20:00 PM,red,frc3322,"0","78","0","78","0","78","1","1","Depot Side","0","0","0","1","0","0","8","7","1","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm10,10,3/14/2026 4:20:00 PM,blue,frc2832,"3","5","0","8","3","5","1","0","Middle","3","0","0","0","0","0","5","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm10,10,3/14/2026 4:20:00 PM,blue,frc469,"20","103","0","123","20","103","1","0","Outpost Side","0","2","0","1","0","0","3","10","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm11,11,3/14/2026 4:28:00 PM,red,frc2834,"5","27","0","32","5","27","1","0","Depot Side","5","0","0","1","0","0","7","2","1","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm11,11,3/14/2026 4:28:00 PM,blue,frc9182,"13","10","0","23","13","10","0","0","Outpost Side","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm11,11,3/14/2026 4:28:00 PM,red,frc8427,"3","7","0","10","3","7","0","1","Middle","3","0","0","0","0","0","7","0","0","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm12,12,3/14/2026 4:36:00 PM,blue,frc9148,"0","0","0","0","0","0","0","1","Not There","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm12,12,3/14/2026 4:36:00 PM,blue,frc6152,"0","59","0","59","0","59","0","0","Depot Side","0","0","0","0","0","0","9","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm12,12,3/14/2026 4:36:00 PM,red,frc815,"4","13","0","17","4","13","1","0","Depot Side","4","0","0","1","0","0","3","1","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm12,12,3/14/2026 4:36:00 PM,red,frc6861,"5","80","0","85","5","80","0","0","Middle","5","0","0","0","0","0","0","8","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm12,12,3/14/2026 4:36:00 PM,red,frc5090,"0","0","0","0","0","0","0","1","Outpost Side","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm13,13,3/14/2026 4:44:00 PM,blue,frc3604,"0","8","0","8","0","8","0","0","Depot Side","0","0","0","1","0","0","8","0","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm13,13,3/14/2026 4:44:00 PM,blue,frc910,"16","34","0","50","16","34","0","0","Outpost Side","6","1","0","0","0","0","4","3","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm13,13,3/14/2026 4:44:00 PM,red,frc8362,"0","8","0","8","0","8","0","0","Depot Side","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm13,13,3/14/2026 4:44:00 PM,red,frc217,"10","65","0","75","10","65","1","0","Outpost Side","0","1","0","1","0","0","5","6","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm14,14,3/14/2026 4:52:00 PM,red,frc1189,"20","122","0","142","20","122","0","0","Depot Side","0","2","0","0","0","0","2","12","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm14,14,3/14/2026 4:52:00 PM,red,frc5901,"0","0","0","0","0","0","0","1","Outpost Side","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm14,14,3/14/2026 4:52:00 PM,blue,frc2620,"4","6","0","10","4","6","0","1","Depot Side","4","0","0","1","1","0","6","0","0","0","0","1","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm14,14,3/14/2026 4:52:00 PM,blue,frc6101,"0","10","0","10","0","10","0","0","Outpost Side","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm15,15,3/14/2026 6:00:00 PM,red,frc8124,"3","0","0","3","3","0","0","0","Middle","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm16,16,3/14/2026 6:09:00 PM,blue,frc2834,"3","30","0","33","3","30","1","0","Middle","3","0","0","0","0","0","0","3","1","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm16,16,3/14/2026 6:09:00 PM,red,frc9148,"10","54","0","64","10","54","0","0","Middle","0","1","0","0","0","0","4","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm16,16,3/14/2026 6:09:00 PM,blue,frc469,"52","69","0","121","52","69","1","0","Outpost Side","2","5","0","1","0","0","19","5","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm17,17,3/14/2026 6:18:00 PM,blue,frc10606,"0","3","0","3","0","3","0","0","Middle","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm17,17,3/14/2026 6:18:00 PM,red,frc3322,"0","25","0","25","0","25","1","0","Middle","0","0","0","0","0","0","5","2","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm17,17,3/14/2026 6:18:00 PM,blue,frc815,"2","11","0","13","2","11","1","1","Outpost Side","2","0","0","0","0","0","1","1","1","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm17,17,3/14/2026 6:18:00 PM,red,frc217,"15","55","0","70","15","55","0","0","Outpost Side","5","1","0","1","0","0","5","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm17,17,3/14/2026 6:18:00 PM,red,frc4390,"0","7","0","7","0","7","0","0","Not There","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm18,18,3/14/2026 6:27:00 PM,red,frc6914,"4","36","0","40","4","36","0","0","Depot Side","4","0","0","0","0","0","6","3","0","0","0","0","0","0","25","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm18,18,3/14/2026 6:27:00 PM,red,frc6618,"5","15","0","20","5","15","1","0","Middle","5","0","0","0","0","0","5","1","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm18,18,3/14/2026 6:27:00 PM,blue,frc5090,"0","0","0","0","0","0","0","0","Outpost Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm18,18,3/14/2026 6:27:00 PM,blue,frc1189,"0","56","0","56","0","56","0","0","Middle","0","0","0","0","0","0","6","5","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm19,19,3/14/2026 6:36:00 PM,red,frc5907,"7","50","0","57","7","50","1","1","Outpost Side","7","0","0","1","0","0","0","5","1","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm19,19,3/14/2026 6:36:00 PM,blue,frc8362,"0","6","0","6","0","6","0","1","Outpost Side","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm20,20,3/14/2026 6:45:00 PM,red,frc8179,"8","27","0","35","8","27","0","1","Middle","8","0","0","0","0","0","7","2","0","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm20,20,3/14/2026 6:45:00 PM,blue,frc6570,"4","22","0","26","4","22","1","0","Middle","4","0","0","0","0","0","22","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm20,20,3/14/2026 6:45:00 PM,blue,frc9226,"5","0","0","5","5","0","0","0","Outpost Side","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm21,21,3/14/2026 6:54:00 PM,blue,frc2620,"3","38","0","41","3","38","1","0","Depot Side","3","0","0","0","0","0","8","3","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm21,21,3/14/2026 6:54:00 PM,red,frc815,"6","31","0","37","6","31","1","0","Outpost Side","6","0","0","0","0","0","11","2","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm21,21,3/14/2026 6:54:00 PM,blue,frc6528,"0","11","0","11","0","11","0","0","Outpost Side","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm22,22,3/14/2026 7:03:00 PM,red,frc10606,"2","4","0","6","2","4","0","0","Middle","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm22,22,3/14/2026 7:03:00 PM,blue,frc247,"4","30","0","34","4","30","0","0","Depot Side","4","0","0","1","0","0","0","3","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm22,22,3/14/2026 7:03:00 PM,red,frc6914,"6","0","0","6","6","0","0","0","Outpost Side","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm23,23,3/14/2026 7:12:00 PM,red,frc5090,"0","0","0","0","0","0","1","1","Outpost Side","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm23,23,3/14/2026 7:12:00 PM,blue,frc3604,"8","21","20","49","8","21","1","0","Depot Side","8","0","0","1","0","0","11","1","1","0","0","0","0","0","15","Level 2","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm23,23,3/14/2026 7:12:00 PM,red,frc1528,"0","0","0","0","0","0","0","0","Depot Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm24,24,3/14/2026 7:20:00 PM,blue,frc3322,"11","24","0","35","11","24","1","0","Depot Side","1","1","0","1","0","0","4","2","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm24,24,3/14/2026 7:20:00 PM,blue,frc9226,"6","19","0","25","6","19","0","0","Depot Side","6","0","0","0","0","0","9","1","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm24,24,3/14/2026 7:20:00 PM,red,frc240,"0","0","0","0","0","0","0","1","Depot Side","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm25,25,3/14/2026 7:28:00 PM,blue,frc6570,"6","15","0","21","6","15","1","1","Outpost Side","6","0","0","0","0","0","5","1","1","0","0","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm25,25,3/14/2026 7:28:00 PM,red,frc8362,"0","10","0","10","0","10","0","0","Depot Side","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm25,25,3/14/2026 7:28:00 PM,red,frc4390,"0","11","0","11","0","11","0","0","Depot Side","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm26,26,3/14/2026 7:36:00 PM,red,frc217,"10","47","0","57","10","47","1","0","Outpost Side","0","1","0","0","0","0","7","4","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm26,26,3/14/2026 7:36:00 PM,blue,frc9182,"0","0","0","0","0","0","0","2","Outpost Side","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm27,27,3/14/2026 7:44:00 PM,red,frc910,"0","80","0","80","0","80","1","0","Outpost Side","0","0","0","1","1","0","0","8","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm27,27,3/14/2026 7:44:00 PM,red,frc5090,"4","0","0","4","4","0","0","1","Depot Side","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm27,27,3/14/2026 7:44:00 PM,blue,frc5498,"8","0","0","8","8","0","0","0","Middle","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm28,28,3/14/2026 7:52:00 PM,red,frc9572,"6","110","0","116","6","110","1","0","Outpost Side","6","0","0","0","0","0","0","11","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm28,28,3/14/2026 7:52:00 PM,red,frc6029,"0","33","0","33","0","33","1","1","Middle","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm28,28,3/14/2026 7:52:00 PM,blue,frc9226,"6","23","0","29","6","23","1","0","Outpost Side","6","0","0","1","0","0","3","2","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm28,28,3/14/2026 7:52:00 PM,blue,frc815,"8","40","0","48","8","40","0","0","Depot Side","8","0","0","0","0","0","0","4","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm29,29,3/14/2026 8:00:00 PM,blue,frc1189,"18","97","0","115","18","97","0","0","Depot Side","8","1","0","0","0","0","7","9","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm29,29,3/14/2026 8:00:00 PM,red,frc6057,"0","2","0","2","0","2","1","0","Outpost Side","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm29,29,3/14/2026 8:00:00 PM,red,frc6570,"3","40","0","43","3","40","0","0","Middle","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm29,29,3/14/2026 8:00:00 PM,red,frc5050,"0","40","0","40","0","40","0","0","Depot Side","0","0","0","0","0","0","20","2","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm30,30,3/14/2026 8:08:00 PM,red,frc6152,"6","20","0","26","6","20","0","0","Depot Side","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm30,30,3/14/2026 8:08:00 PM,red,frc469,"30","60","0","90","30","60","1","0","Outpost Side","0","3","0","1","0","0","0","6","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm30,30,3/14/2026 8:08:00 PM,blue,frc8179,"3","19","0","22","3","20","1","1","Outpost Side","3","0","0","1","0","0","0","2","1","0","1","0","1","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm31,31,3/14/2026 8:16:00 PM,red,frc5263,"0","2","0","2","0","2","0","0","Middle","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm31,31,3/14/2026 8:16:00 PM,blue,frc6528,"4","32","0","36","4","32","1","0","Depot Side","4","0","0","0","0","0","2","3","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm31,31,3/14/2026 8:16:00 PM,blue,frc2832,"8","39","0","47","8","39","0","0","Middle","8","0","0","0","0","0","9","3","0","0","0","0","0","0","0","None","0","0","0"
